clinician_id,auth_user_id,first_name,last_name,email,license_number,clinic_id,password_plain
278a5134-98cf-4ee5-b3ea-1b8a793f3a78,40ed6450-18b8-47fc-8b10-2d91a91a7f62,Lynn,Morales,lynn.morales@healthsync.ca,1694522,7dc3346c-664d-4a67-b088-7de56297c0f7,sCLKT1NsiSSC
40312bf8-9b85-4182-a07d-b9a3d7174dad,7931a6b3-f4c5-4dad-a339-a4cf5b772454,Crystal,Brown,crystal.brown@healthsync.ca,7606962,4bb59e21-1364-4ab4-842e-cb80b32a6fb9,aCqXmfKGEjhE
6368eb17-f169-4e99-950d-a04ec185fa3e,f0e3ad09-6652-4243-bd44-d80af3188a8f,Anna,Torres,anna.torres@healthsync.ca,6210606,a3f78ca7-b98e-40be-9c0f-fcb2a68bbe0a,T5Vr2rqWFEAB
4c8369d5-0f6c-42ce-9f92-7401e3388da6,2b5892bd-d298-49f7-86ea-c0e6b592c43e,David,Duran,david.duran@healthsync.ca,4479144,a3f78ca7-b98e-40be-9c0f-fcb2a68bbe0a,YhKSezpM2A9s
f8002181-37b9-4236-911d-bc95bdaaa5f0,032cde2b-9514-41a3-be19-547a7cec96eb,Krystal,Perez,krystal.perez@healthsync.ca,8961380,7dc3346c-664d-4a67-b088-7de56297c0f7,8XxWfYonKYtY
dcd562b0-5ad7-4249-8f15-8be109a3323b,6de3a4d3-f772-491d-b7bd-63735d597b39,Shannon,Ramos,shannon.ramos@healthsync.ca,7755439,22af13c1-05a6-402b-bff4-3e9b59289599,pJE0ACDUWQnW
dc26f0c4-768a-4a97-ac54-03af6c4f2c77,5e5757bd-0357-40e2-b0aa-437447c55543,Veronica,Torres,veronica.torres@healthsync.ca,9344066,4bb59e21-1364-4ab4-842e-cb80b32a6fb9,5QiDbbjG8yoX
dd5920b7-8d88-49c3-b33c-9823bbc84486,e66019bc-4ba6-4670-a8fb-6bae42ac885f,Chelsea,Singh,chelsea.singh@healthsync.ca,0938483,22af13c1-05a6-402b-bff4-3e9b59289599,bEtx1e20t0NY
05d06cdf-f8b1-409f-8778-8ccf628e70be,79582ee0-9cc6-4ef3-a223-567d3621e31b,Jared,Clark,jared.clark@healthsync.ca,5292423,22af13c1-05a6-402b-bff4-3e9b59289599,u7lklghebAAc
c9c357af-cbf1-4f70-a249-35ef5c9e4228,26cf8896-65fd-4385-9874-89e35ce1bb65,Eric,Thompson,eric.thompson@healthsync.ca,1110460,4bb59e21-1364-4ab4-842e-cb80b32a6fb9,iiQkKeNBjp4t
10a18930-7d51-4fc0-9230-4b0956663aff,349fd84b-fb55-421d-8235-1d872ec22a5a,Aaron,Hayes,aaron.hayes@healthsync.ca,3567281,3c65d81a-006a-4034-8a96-1f1639e5a132,rDwHFVPWQzcj
01115c5d-7246-411e-93b0-571b9a21c3bf,defe2a35-1c45-47fc-8b50-9234d6d26b05,Kelly,Hall,kelly.hall@healthsync.ca,7698256,0651a86d-e60b-41bd-9044-dbbeac159ce6,bGhhBinyALFq
05cff19b-1d06-4e10-8563-9d5be36b8d77,0b6d223f-0f0d-4f34-b339-6adcc46d8719,Jacqueline,Gibson,jacqueline.gibson@healthsync.ca,2342608,836bca8b-103d-4a35-bfb0-4d9314790373,AJXK0TuKQFsr
536ef625-ac10-4d00-8a9e-3a10e7a8e04b,1f1640cc-119b-4fa3-b880-0604e3837fc9,Sandra,French,sandra.french@healthsync.ca,9807725,22af13c1-05a6-402b-bff4-3e9b59289599,YAhWIDRi6y0l
3fe2b27f-6881-4784-9a75-dc21352072f7,41e93974-a449-43f7-a255-4cfdbefa6e25,Donna,Peck,donna.peck@healthsync.ca,6073292,b85d7ac1-d849-443b-bef4-5cf4b2a48915,TpSkirGABlkM
78ed93f9-870d-4166-ba10-719bf136ae8a,13365cc2-4d2d-4175-9d5e-eeacebcbee11,Amy,Holland,amy.holland@healthsync.ca,8548432,22af13c1-05a6-402b-bff4-3e9b59289599,W7hO7jlOOd6i
38a8e8c0-61b7-43f1-a532-c162a4368d47,274d9254-5fee-43e3-9aa0-88d925e083f9,Margaret,Jones,margaret.jones@healthsync.ca,0790481,0651a86d-e60b-41bd-9044-dbbeac159ce6,ujAJJbyiaxa7
a1644206-c582-47e1-bf70-315bc885a2a1,8fa28521-a7a0-4fe7-8a30-fe5dd0e9c164,Kyle,Curry,kyle.curry@healthsync.ca,2684052,e9383071-dee3-4552-92b8-ef0a6eb10e30,O3vudFH8lkIo
5cdcb24a-ff1b-4ee8-9512-5af6b3617bb1,655943a8-2c45-48e0-a503-1825100c47be,Keith,Martinez,keith.martinez@healthsync.ca,6455324,b85d7ac1-d849-443b-bef4-5cf4b2a48915,I2tZqYfvhU2l
2a184bee-9955-4daf-9ec4-62ec71ef7a8b,3cf15c5b-269d-4104-9bc0-0a3bc20dad5e,Holly,Bender,holly.bender@healthsync.ca,8877065,4bb59e21-1364-4ab4-842e-cb80b32a6fb9,Roc5VP0Pgro6
353c621d-1fb7-4242-94f5-155f9d9d99fa,7505cb4b-e304-4db3-b57b-352feabfa25a,Troy,Miller,troy.miller@healthsync.ca,1921859,87cf8cdf-f034-4e36-b2aa-769f66110b49,0VLCyfNG9rMx
f8a3d16c-7ae6-4be9-9be8-3d7d192ea6ea,c17256bb-b537-4f40-a969-bae9dffcf010,Ryan,Morris,ryan.morris@healthsync.ca,5707197,d2d59b80-5b4a-48d6-a2d7-313bf9837941,FePCEbX6umty
a9808ff4-16db-44e6-9380-405a292318f1,e14e566a-e61b-49a3-9edf-607200a0ee6f,Christopher,Hayden,christopher.hayden@healthsync.ca,7294150,e9383071-dee3-4552-92b8-ef0a6eb10e30,dY4rbN3Xvtih
0588c21c-ae00-4314-a139-c6be43d80828,07ac41db-542c-4da7-ac18-bbc5feda7e56,Barbara,Sampson,barbara.sampson@healthsync.ca,0054447,a6ba3047-7299-48ad-a5cc-3fd386e0bcca,sIOyQHe9UaBy
a77f4520-9f3f-4b3a-85f3-c14e21f36ae9,2b949519-b231-4d66-8325-612335f4e760,Emily,Adams,emily.adams@healthsync.ca,8517485,87cf8cdf-f034-4e36-b2aa-769f66110b49,FX9UZafGummF
af0345b2-1d29-404d-9fc4-28fccaf16d0c,775bc012-d9fc-4cdb-a074-b1d79c02c32e,Katelyn,Ruiz,katelyn.ruiz@healthsync.ca,8517169,e9383071-dee3-4552-92b8-ef0a6eb10e30,GaB4ZqCrfnzZ
17c02d71-c6fc-4a67-8534-58b6279b9eda,9d7bc713-26ce-4a11-b240-172de5f8c385,Sabrina,White,sabrina.white@healthsync.ca,2564217,6de5ebed-b657-4e63-ae5d-847fb1ce00b6,rEEGMjOufeYw
5b7d403c-9983-4bc7-851a-0045c7a8ad7b,844df1e8-d9e7-4eed-9956-531905fc3b59,Cynthia,Vasquez,cynthia.vasquez@healthsync.ca,9049278,a3f78ca7-b98e-40be-9c0f-fcb2a68bbe0a,2gv5hKmPonAw
ae4d1737-9a74-4f3c-aabc-50c310f73f29,04314ce4-7c39-4e86-a33b-f7ca5837caa4,Michael,Cook,michael.cook@healthsync.ca,5438436,508d5878-e9cf-40cd-bfcb-154860dfcedb,vElHlYYMr7PA
15d9c192-41b7-4daa-83a4-0798bd181cfb,c26f4e0b-8898-46f8-ada3-59b5e3589721,Mia,Rivera,mia.rivera@healthsync.ca,1876828,0651a86d-e60b-41bd-9044-dbbeac159ce6,rhS3PuyuMOX4
